Address,City,Price,Lot size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden
Vlasserslaan 21,Ulrum,215000,101.0,1976,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin
Van Asch van Wijckskade 9,Utrecht,895000,140.0,1935,Bestaande bouw,"Grachtenpand, tussenwoning",Zadeldak,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,4 woonlagen,B,,Patio/atrium
De Fuut 35,Almelo,225000,97.0,1983,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin
Joos Banckersplantsoen 15 + PP,Amsterdam,875000,129.0,2003,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,B,"Aan park, aan rustige weg, aan vaarwater, aan water, in woonwijk en vrij uitzicht",
De Sitterlaan 17,Leiden,745000,167.0,1936,Bestaande bouw,"Herenhuis, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),3 badkamers en 1 apart toilet,3 woonlagen en een vliering,D,"In centrum, in woonwijk en vrij uitzicht",Zonneterras
Gein-Noord 89,Abcoude,1825000,270.0,1960,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),3 badkamers en 2 aparte toiletten,3 woonlagen,C,"Aan rustige weg, aan vaarwater, landelijk gelegen, open ligging en vrij uitzicht",Achtertuin en tuin rondom
Marialaan 344,Nijmegen,379000,88.0,2004,Bestaande bouw,,Plat dak,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,B,In woonwijk,
Sloterweg 105 C,Badhoevedorp,318800,69.0,1960,Bestaande bouw,,Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,1 woonlaag,D,"Aan rustige weg, in centrum, open ligging en vrij uitzicht",
Vuurtoren 29,Amstelveen,925000,180.0,1987,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin
Veengrasstraat 6,Nieuw-Buinen,345000,140.0,1998,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zonneterras"
